,instance,height,time,solution type
ins-1,1,8,2.1059346199035645,optimal
ins-2,2,9,2.174698829650879,optimal
ins-3,3,10,4.83552885055542,optimal
ins-4,4,11,9.018016815185549,optimal
ins-5,5,12,14.897615671157835,optimal
ins-6,6,13,25.82661008834839,optimal
ins-7,7,14,33.49677586555481,optimal
ins-8,8,15,43.615647077560425,optimal
ins-9,9,16,58.19907736778259,optimal
ins-10,10,17,105.27541208267212,optimal
ins-11,11,0,300.0,N|A
ins-12,12,19,233.55962228775024,optimal
ins-13,13,20,267.694920539856,optimal
ins-14,14,21,276.05246925354004,optimal
ins-15,15,0,300.0,N|A
ins-16,16,0,300.0,N|A
ins-17,17,0,300.0,N|A
ins-18,18,0,300.0,N|A
ins-19,19,0,300.0,N|A
ins-20,20,0,300.0,N|A
ins-21,21,0,300.0,N|A
ins-22,22,0,300.0,N|A
ins-23,23,0,300.0,N|A
ins-24,24,0,300.0,N|A
ins-25,25,0,300.0,N|A
ins-26,26,-,-1.0,N|A
ins-27,27,-,-1.0,N|A
ins-28,28,-,-1.0,N|A
ins-29,29,-,-1.0,N|A
ins-30,30,-,-1.0,N|A
ins-31,31,-,-1.0,N|A
ins-32,32,-,-1.0,N|A
ins-33,33,-,-1.0,N|A
ins-34,34,-,-1.0,N|A
ins-35,35,-,-1.0,N|A
ins-36,36,-,-1.0,N|A
ins-37,37,-,-1.0,N|A
ins-38,38,-,-1.0,N|A
ins-39,39,-,-1.0,N|A
ins-40,40,-,-1.0,N|A
