,instance,height,time,solution type
ins-1,1,8,0.4207665920257568,optimal
ins-2,2,9,0.9659984111785888,optimal
ins-3,3,10,1.7174651622772217,optimal
ins-4,4,11,4.293640851974487,optimal
ins-5,5,12,5.766884803771973,optimal
ins-6,6,13,8.51692819595337,optimal
ins-7,7,14,10.578882694244385,optimal
ins-8,8,15,14.356817960739136,optimal
ins-9,9,16,19.42596864700317,optimal
ins-10,10,17,32.9640109539032,optimal
ins-11,11,0,300.0,N|A
ins-12,12,19,54.17062568664551,optimal
ins-13,13,20,67.31959438323975,optimal
ins-14,14,21,166.85390758514404,optimal
ins-15,15,22,171.01196312904358,optimal
ins-16,16,0,300.0,N|A
ins-17,17,24,267.56453704833984,optimal
ins-18,18,0,300.0,N|A
ins-19,19,0,300.0,N|A
ins-20,20,0,300.0,N|A
