,instance,height,time,solution type
ins-1,1,8,1.249115228652954,optimal
ins-2,2,9,1.525130033493042,optimal
ins-3,3,10,3.8310277462005615,optimal
ins-4,4,11,8.007814645767212,optimal
ins-5,5,12,14.21218228340149,optimal
ins-6,6,13,23.192795038223267,optimal
ins-7,7,14,29.415945529937744,optimal
ins-8,8,15,39.82572793960571,optimal
ins-9,9,16,54.17581868171692,optimal
ins-10,10,17,89.56584334373474,optimal
ins-11,11,0,300.0,N|A
ins-12,12,19,59.8120002746582,optimal
ins-13,13,20,75.75129008293152,optimal
ins-14,14,21,137.02535152435303,optimal
ins-15,15,22,232.33399891853333,optimal
ins-16,16,0,300.0,N|A
ins-17,17,0,300.0,N|A
ins-18,18,25,244.0477261543274,optimal
ins-19,19,0,300.0,N|A
ins-20,20,0,300.0,N|A
ins-21,21,0,300.0,N|A
ins-22,22,0,300.0,N|A
ins-23,23,0,300.0,N|A
ins-24,24,0,300.0,N|A
ins-25,25,0,300.0,N|A
ins-26,26,-,-1.0,N|A
ins-27,27,-,-1.0,N|A
ins-28,28,-,-1.0,N|A
ins-29,29,-,-1.0,N|A
ins-30,30,-,-1.0,N|A
ins-31,31,-,-1.0,N|A
ins-32,32,-,-1.0,N|A
ins-33,33,-,-1.0,N|A
ins-34,34,-,-1.0,N|A
ins-35,35,-,-1.0,N|A
ins-36,36,-,-1.0,N|A
ins-37,37,-,-1.0,N|A
ins-38,38,-,-1.0,N|A
ins-39,39,-,-1.0,N|A
ins-40,40,-,-1.0,N|A
