,instance,height,time,solution type
ins-1,1,8,0.5810012817382812,optimal
ins-2,2,9,0.8330004215240479,optimal
ins-3,3,10,1.5860025882720947,optimal
ins-4,4,11,3.125473737716675,optimal
ins-5,5,12,5.256989479064941,optimal
ins-6,6,13,9.947003364562988,optimal
ins-7,7,14,11.548418283462524,optimal
ins-8,8,15,15.490015268325806,optimal
ins-9,9,16,21.316138982772827,optimal
ins-10,10,17,32.18450999259949,optimal
ins-11,11,0,300.0,N|A
ins-12,12,19,64.39946746826172,optimal
ins-13,13,20,74.56365919113159,optimal
ins-14,14,21,104.53200793266296,optimal
ins-15,15,22,109.32294416427612,optimal
ins-16,16,0,300.0,N|A
ins-17,17,0,300.0,N|A
ins-18,18,0,300.0,N|A
ins-19,19,0,300.0,N|A
ins-20,20,0,300.0,N|A
ins-21,21,0,300.0,N|A
ins-22,22,0,300.0,N|A
ins-23,23,0,300.0,N|A
ins-24,24,0,300.0,N|A
ins-25,25,0,300.0,N|A
ins-26,26,0,300.0,N|A
ins-27,27,0,300.0,N|A
ins-28,28,0,300.0,N|A
ins-29,29,0,300.0,N|A
ins-30,30,0,300.0,N|A
ins-31,31,0,300.0,N|A
ins-32,32,0,300.0,N|A
ins-33,33,0,300.0,N|A
ins-34,34,0,300.0,N|A
ins-35,35,0,300.0,N|A
ins-36,36,0,300.0,N|A
ins-37,37,0,300.0,N|A
ins-38,38,0,300.0,N|A
ins-39,39,0,300.0,N|A
ins-40,40,0,300.0,N|A
