,instance,height,time,solution type
ins-1,1,8,1.3349828720092771,optimal
ins-2,2,9,2.1408376693725586,optimal
ins-3,3,10,3.692718744277954,optimal
ins-4,4,11,6.336939096450806,optimal
ins-5,5,12,10.229725122451782,optimal
ins-6,6,13,18.868778944015503,optimal
ins-7,7,14,23.202703952789307,optimal
ins-8,8,15,33.47268104553223,optimal
ins-9,9,16,44.33944725990296,optimal
ins-10,10,17,79.08503937721252,optimal
ins-11,11,18,224.3375964164734,optimal
ins-12,12,19,242.1035423278809,optimal
ins-13,13,20,167.26366782188416,optimal
ins-14,14,21,254.3038282394409,optimal
ins-15,15,0,300.0,N|A
ins-16,16,0,300.0,N|A
ins-17,17,0,300.0,N|A
ins-18,18,0,300.0,N|A
ins-19,19,0,300.0,N|A
ins-20,20,0,300.0,N|A
ins-21,21,0,300.0,N|A
ins-22,22,0,300.0,N|A
ins-23,23,0,300.0,N|A
ins-24,24,0,300.0,N|A
ins-25,25,0,300.0,N|A
ins-26,26,-,-1.0,N|A
ins-27,27,-,-1.0,N|A
ins-28,28,-,-1.0,N|A
ins-29,29,-,-1.0,N|A
ins-30,30,-,-1.0,N|A
ins-31,31,-,-1.0,N|A
ins-32,32,-,-1.0,N|A
ins-33,33,-,-1.0,N|A
ins-34,34,-,-1.0,N|A
ins-35,35,-,-1.0,N|A
ins-36,36,-,-1.0,N|A
ins-37,37,-,-1.0,N|A
ins-38,38,-,-1.0,N|A
ins-39,39,-,-1.0,N|A
ins-40,40,-,-1.0,N|A
