,instance,height,time,solution type
ins-1,1,8,0.7069182395935059,optimal
ins-2,2,9,0.9863250255584716,optimal
ins-3,3,10,2.150574922561645,optimal
ins-4,4,11,4.542675971984863,optimal
ins-5,5,12,6.416232109069824,optimal
ins-6,6,13,12.61423373222351,optimal
ins-7,7,14,15.422414779663086,optimal
ins-8,8,15,21.584147214889526,optimal
ins-9,9,16,31.68152594566345,optimal
ins-10,10,17,46.84302282333374,optimal
ins-11,11,0,300.0,N|A
ins-12,12,19,103.79405689239502,optimal
ins-13,13,20,106.5569281578064,optimal
ins-14,14,21,157.46861052513125,optimal
ins-15,15,22,263.94388699531555,optimal
ins-16,16,0,300.0,N|A
ins-17,17,0,300.0,N|A
ins-18,18,0,300.0,N|A
ins-19,19,0,300.0,N|A
ins-20,20,0,300.0,N|A
