,instance,height,time,solution type
ins-1,1,8,0.5680952072143555,optimal
ins-2,2,9,0.8009998798370361,optimal
ins-3,3,10,1.6179780960083008,optimal
ins-4,4,11,2.9980030059814453,optimal
ins-5,5,12,5.4639222621917725,optimal
ins-6,6,13,8.30632472038269,optimal
ins-7,7,14,10.263395071029665,optimal
ins-8,8,15,14.422013759613035,optimal
ins-9,9,16,19.669321537017822,optimal
ins-10,10,17,33.572423219680786,optimal
ins-11,11,18,166.40792679786682,optimal
ins-12,12,19,171.06760907173157,optimal
ins-13,13,20,151.86645412445068,optimal
ins-14,14,21,255.1260359287262,optimal
ins-15,15,22,124.13187074661256,optimal
ins-16,16,0,300.0,N|A
ins-17,17,0,300.0,N|A
ins-18,18,0,300.0,N|A
ins-19,19,0,300.0,N|A
ins-20,20,0,300.0,N|A
ins-21,21,0,300.0,N|A
ins-22,22,0,300.0,N|A
ins-23,23,0,300.0,N|A
ins-24,24,0,300.0,N|A
ins-25,25,0,300.0,N|A
ins-26,26,-,-1.0,N|A
ins-27,27,-,-1.0,N|A
ins-28,28,-,-1.0,N|A
ins-29,29,-,-1.0,N|A
ins-30,30,-,-1.0,N|A
ins-31,31,-,-1.0,N|A
ins-32,32,-,-1.0,N|A
ins-33,33,-,-1.0,N|A
ins-34,34,-,-1.0,N|A
ins-35,35,-,-1.0,N|A
ins-36,36,-,-1.0,N|A
ins-37,37,-,-1.0,N|A
ins-38,38,-,-1.0,N|A
ins-39,39,-,-1.0,N|A
ins-40,40,-,-1.0,N|A
