,instance,height,time,solution type
ins-1,1,8,0.6540005207061768,optimal
ins-2,2,9,0.9360716342926024,optimal
ins-3,3,10,2.2219808101654053,optimal
ins-4,4,11,3.2481799125671387,optimal
ins-5,5,12,5.593076467514038,optimal
ins-6,6,13,9.7514009475708,optimal
ins-7,7,14,11.944623947143556,optimal
ins-8,8,15,16.58916139602661,optimal
ins-9,9,16,21.21126937866211,optimal
ins-10,10,17,34.27285671234131,optimal
ins-11,11,18,81.40228939056396,optimal
ins-12,12,19,60.86784100532532,optimal
ins-13,13,20,74.34122848510742,optimal
ins-14,14,21,99.98791885375977,optimal
ins-15,15,22,231.4229109287262,optimal
ins-16,16,0,300.0,N|A
ins-17,17,0,300.0,N|A
ins-18,18,0,300.0,N|A
ins-19,19,0,300.0,N|A
ins-20,20,0,300.0,N|A
ins-21,21,0,300.0,N|A
ins-22,22,0,300.0,N|A
ins-23,23,0,300.0,N|A
ins-24,24,0,300.0,N|A
ins-25,25,0,300.0,N|A
ins-26,26,-,-1.0,N|A
ins-27,27,-,-1.0,N|A
ins-28,28,-,-1.0,N|A
ins-29,29,-,-1.0,N|A
ins-30,30,-,-1.0,N|A
ins-31,31,-,-1.0,N|A
ins-32,32,-,-1.0,N|A
ins-33,33,-,-1.0,N|A
ins-34,34,-,-1.0,N|A
ins-35,35,-,-1.0,N|A
ins-36,36,-,-1.0,N|A
ins-37,37,-,-1.0,N|A
ins-38,38,-,-1.0,N|A
ins-39,39,-,-1.0,N|A
ins-40,40,-,-1.0,N|A
