,instance,height,time,solution type
ins-1,1,-,-1,N|A
ins-2,2,-,-1,N|A
ins-3,3,-,-1,N|A
ins-4,4,11,4.984483003616333,optimal
ins-5,5,-,-1,N|A
ins-6,6,-,-1,N|A
ins-7,7,-,-1,N|A
ins-8,8,-,-1,N|A
ins-9,9,-,-1,N|A
ins-10,10,-,-1,N|A
ins-11,11,-,-1,N|A
ins-12,12,-,-1,N|A
ins-13,13,-,-1,N|A
ins-14,14,-,-1,N|A
ins-15,15,-,-1,N|A
ins-16,16,-,-1,N|A
ins-17,17,-,-1,N|A
ins-18,18,-,-1,N|A
ins-19,19,-,-1,N|A
ins-20,20,-,-1,N|A
ins-21,21,-,-1,N|A
ins-22,22,-,-1,N|A
ins-23,23,-,-1,N|A
ins-24,24,-,-1,N|A
ins-25,25,-,-1,N|A
ins-26,26,-,-1,N|A
ins-27,27,-,-1,N|A
ins-28,28,-,-1,N|A
ins-29,29,-,-1,N|A
ins-30,30,-,-1,N|A
ins-31,31,-,-1,N|A
ins-32,32,-,-1,N|A
ins-33,33,-,-1,N|A
ins-34,34,-,-1,N|A
ins-35,35,-,-1,N|A
ins-36,36,-,-1,N|A
ins-37,37,-,-1,N|A
ins-38,38,-,-1,N|A
ins-39,39,-,-1,N|A
ins-40,40,-,-1,N|A
