,instance,height,time,solution type
ins-1,1,8,3.292760133743286,optimal
ins-2,2,9,3.3785400390625,optimal
ins-3,3,10,7.5746681690216064,optimal
ins-4,4,11,13.038101196289062,optimal
ins-5,5,12,25.585071563720703,optimal
ins-6,6,13,42.946117877960205,optimal
ins-7,7,14,55.30013966560364,optimal
ins-8,8,15,55.30927228927612,optimal
ins-9,9,16,72.79599332809448,optimal
ins-10,10,17,130.40429830551147,optimal
ins-11,11,0,300.0,N|A
ins-12,12,0,300.0,N|A
ins-13,13,0,300.0,N|A
ins-14,14,0,300.0,N|A
ins-15,15,0,300.0,N|A
ins-16,16,0,300.0,N|A
ins-17,17,0,300.0,N|A
ins-18,18,0,300.0,N|A
ins-19,19,0,300.0,N|A
ins-20,20,0,300.0,N|A
ins-21,21,0,300.0,N|A
ins-22,22,0,300.0,N|A
ins-23,23,0,300.0,N|A
ins-24,24,0,300.0,N|A
ins-25,25,0,300.0,N|A
ins-26,26,-,-1.0,N|A
ins-27,27,-,-1.0,N|A
ins-28,28,-,-1.0,N|A
ins-29,29,-,-1.0,N|A
ins-30,30,-,-1.0,N|A
ins-31,31,-,-1.0,N|A
ins-32,32,-,-1.0,N|A
ins-33,33,-,-1.0,N|A
ins-34,34,-,-1.0,N|A
ins-35,35,-,-1.0,N|A
ins-36,36,-,-1.0,N|A
ins-37,37,-,-1.0,N|A
ins-38,38,-,-1.0,N|A
ins-39,39,-,-1.0,N|A
ins-40,40,-,-1.0,N|A
