,instance,height,time,solution type
ins-1,1,8,0.9458999633789062,optimal
ins-2,2,9,1.6750056743621826,optimal
ins-3,3,10,3.280187129974365,optimal
ins-4,4,11,5.493471145629883,optimal
ins-5,5,12,10.299985885620115,optimal
ins-6,6,13,18.75206065177917,optimal
ins-7,7,14,26.918598175048828,optimal
ins-8,8,15,71.2068281173706,optimal
ins-9,9,16,42.03368020057678,optimal
ins-10,10,17,69.61415576934814,optimal
ins-11,11,0,300.0,N|A
ins-12,12,0,300.0,N|A
ins-13,13,20,253.5505621433258,optimal
ins-14,14,0,300.0,N|A
ins-15,15,0,300.0,N|A
ins-16,16,0,300.0,N|A
ins-17,17,0,300.0,N|A
ins-18,18,0,300.0,N|A
ins-19,19,0,300.0,N|A
ins-20,20,0,300.0,N|A
