,instance,height,time,solution type
ins-1,1,8,1.1789982318878174,optimal
ins-2,2,9,1.786041259765625,optimal
ins-3,3,10,3.1969809532165527,optimal
ins-4,4,11,5.4090001583099365,optimal
ins-5,5,12,11.006996631622314,optimal
ins-6,6,13,17.922961473464966,optimal
ins-7,7,14,26.80689239501953,optimal
ins-8,8,15,74.45876216888428,optimal
ins-9,9,16,44.31722974777222,optimal
ins-10,10,17,80.04415011405945,optimal
ins-11,11,0,300.0,N|A
ins-12,12,0,300.0,N|A
ins-13,13,20,291.7077763080597,optimal
ins-14,14,0,300.0,N|A
