,instance,height,time,solution type
ins-1,1,8,1.2131147384643557,optimal
ins-2,2,9,1.8728787899017327,optimal
ins-3,3,10,4.042410850524902,optimal
ins-4,4,11,7.577341794967651,optimal
ins-5,5,12,12.651414394378662,optimal
ins-6,6,13,21.86542582511902,optimal
ins-7,7,14,28.23709273338318,optimal
ins-8,8,15,36.42336058616638,optimal
ins-9,9,16,57.46910500526428,optimal
ins-10,10,17,240.9845094680786,optimal
ins-11,11,0,300.0,N|A
ins-12,12,0,300.0,N|A
ins-13,13,20,179.52583575248718,optimal
ins-14,14,21,220.4092643260956,optimal
ins-15,15,0,300.0,N|A
ins-16,16,0,300.0,N|A
ins-17,17,0,300.0,N|A
ins-18,18,0,300.0,N|A
ins-19,19,0,300.0,N|A
ins-20,20,0,300.0,N|A
ins-21,21,0,300.0,N|A
ins-22,22,0,300.0,N|A
ins-23,23,0,300.0,N|A
ins-24,24,-,-1.0,N|A
ins-25,25,-,-1.0,N|A
ins-26,26,-,-1.0,N|A
ins-27,27,-,-1.0,N|A
ins-28,28,-,-1.0,N|A
ins-29,29,-,-1.0,N|A
ins-30,30,-,-1.0,N|A
ins-31,31,-,-1.0,N|A
ins-32,32,-,-1.0,N|A
ins-33,33,-,-1.0,N|A
ins-34,34,-,-1.0,N|A
ins-35,35,-,-1.0,N|A
ins-36,36,-,-1.0,N|A
ins-37,37,-,-1.0,N|A
ins-38,38,-,-1.0,N|A
ins-39,39,-,-1.0,N|A
ins-40,40,-,-1.0,N|A
