,instance,height,time,solution type
ins-1,1,8,0.8549373149871826,optimal
ins-2,2,9,1.7115473747253418,optimal
ins-3,3,10,3.031909942626953,optimal
ins-4,4,11,5.496835708618164,optimal
ins-5,5,12,12.00037932395935,optimal
ins-6,6,13,18.162187099456787,optimal
ins-7,7,14,22.04636716842652,optimal
ins-8,8,15,29.911673307418823,optimal
ins-9,9,16,41.771573305130005,optimal
ins-10,10,17,208.7913019657135,optimal
ins-11,11,0,300.0,N|A
ins-12,12,0,300.0,N|A
ins-13,13,0,300.0,N|A
ins-14,14,0,300.0,N|A
ins-15,15,0,300.0,N|A
ins-16,16,0,300.0,N|A
ins-17,17,0,300.0,N|A
ins-18,18,0,300.0,N|A
ins-19,19,0,300.0,N|A
ins-20,20,0,300.0,N|A
