,instance,height,time,solution type
ins-1,1,8,0.7570016384124756,optimal
ins-2,2,9,1.1024508476257324,optimal
ins-3,3,10,2.7560951709747314,optimal
ins-4,4,11,4.19800066947937,optimal
ins-5,5,12,7.467000007629394,optimal
ins-6,6,13,13.76800012588501,optimal
ins-7,7,14,14.209676027297974,optimal
ins-8,8,15,18.60810112953186,optimal
ins-9,9,16,27.713728189468384,optimal
ins-10,10,17,42.10925602912903,optimal
ins-11,11,0,300.0,N|A
ins-12,12,19,74.55738735198975,optimal
ins-13,13,20,218.29691576957703,optimal
ins-14,14,21,113.58924722671507,optimal
ins-15,15,0,300.0,N|A
ins-16,16,0,300.0,N|A
ins-17,17,0,300.0,N|A
ins-18,18,0,300.0,N|A
ins-19,19,0,300.0,N|A
ins-20,20,0,300.0,N|A
ins-21,21,0,300.0,N|A
ins-22,22,0,300.0,N|A
ins-23,23,0,300.0,N|A
ins-24,24,0,300.0,N|A
ins-25,25,0,300.0,N|A
ins-26,26,-,-1.0,N|A
ins-27,27,-,-1.0,N|A
ins-28,28,-,-1.0,N|A
ins-29,29,-,-1.0,N|A
ins-30,30,-,-1.0,N|A
ins-31,31,-,-1.0,N|A
ins-32,32,-,-1.0,N|A
ins-33,33,-,-1.0,N|A
ins-34,34,-,-1.0,N|A
ins-35,35,-,-1.0,N|A
ins-36,36,-,-1.0,N|A
ins-37,37,-,-1.0,N|A
ins-38,38,-,-1.0,N|A
ins-39,39,-,-1.0,N|A
ins-40,40,-,-1.0,N|A
