,instance,height,time,solution type
ins-1,1,8,1.8847393989562988,optimal
ins-2,2,9,2.026540517807007,optimal
ins-3,3,10,3.79980731010437,optimal
ins-4,4,11,7.126232862472534,optimal
ins-5,5,12,11.634665489196776,optimal
ins-6,6,13,20.22333931922913,optimal
ins-7,7,14,23.900484085083008,optimal
ins-8,8,15,33.426684617996216,optimal
ins-9,9,16,47.05299043655396,optimal
ins-10,10,17,57.14870572090149,optimal
ins-11,11,0,300.0,N|A
ins-12,12,19,146.04529190063477,optimal
ins-13,13,20,147.36300444602966,optimal
ins-14,14,21,282.9287357330322,optimal
ins-15,15,22,126.9887478351593,optimal
ins-16,16,0,300.0,N|A
ins-17,17,0,300.0,N|A
ins-18,18,0,300.0,N|A
ins-19,19,0,300.0,N|A
ins-20,20,0,300.0,N|A
ins-21,21,0,300.0,N|A
ins-22,22,0,300.0,N|A
ins-23,23,0,300.0,N|A
ins-24,24,0,300.0,N|A
ins-25,25,0,300.0,N|A
ins-26,26,0,300.0,N|A
ins-27,27,0,300.0,N|A
ins-28,28,0,300.0,N|A
ins-29,29,0,300.0,N|A
ins-30,30,0,300.0,N|A
ins-31,31,0,300.0,N|A
ins-32,32,0,300.0,N|A
ins-33,33,0,300.0,N|A
ins-34,34,0,300.0,N|A
ins-35,35,0,300.0,N|A
ins-36,36,0,300.0,N|A
ins-37,37,0,300.0,N|A
ins-38,38,0,300.0,N|A
ins-39,39,0,300.0,N|A
ins-40,40,0,300.0,N|A
