,instance,height,time,solution type
ins-1,1,8,0.8400006294250488,optimal
ins-2,2,9,1.2210001945495603,optimal
ins-3,3,10,2.6010003089904785,optimal
ins-4,4,11,4.925457954406738,optimal
ins-5,5,12,7.281168460845947,optimal
ins-6,6,13,12.372244834899902,optimal
ins-7,7,14,14.925370216369627,optimal
ins-8,8,15,20.915079832077023,optimal
ins-9,9,16,29.05491852760315,optimal
ins-10,10,17,55.93022036552429,optimal
ins-11,11,0,300.0,N|A
ins-12,12,-,-1.0,N|A
ins-13,13,-,-1.0,N|A
ins-14,14,-,-1.0,N|A
ins-15,15,-,-1.0,N|A
ins-16,16,-,-1.0,N|A
ins-17,17,-,-1.0,N|A
ins-18,18,-,-1.0,N|A
ins-19,19,-,-1.0,N|A
ins-20,20,-,-1.0,N|A
ins-21,21,-,-1.0,N|A
ins-22,22,-,-1.0,N|A
ins-23,23,-,-1.0,N|A
ins-24,24,-,-1.0,N|A
ins-25,25,-,-1.0,N|A
ins-26,26,-,-1.0,N|A
ins-27,27,-,-1.0,N|A
ins-28,28,-,-1.0,N|A
ins-29,29,-,-1.0,N|A
ins-30,30,-,-1.0,N|A
ins-31,31,-,-1.0,N|A
ins-32,32,-,-1.0,N|A
ins-33,33,-,-1.0,N|A
ins-34,34,-,-1.0,N|A
ins-35,35,-,-1.0,N|A
ins-36,36,-,-1.0,N|A
ins-37,37,-,-1.0,N|A
ins-38,38,-,-1.0,N|A
ins-39,39,-,-1.0,N|A
ins-40,40,-,-1.0,N|A
