,instance,height,time,solution type
ins-1,1,8,0.4698202610015869,optimal
ins-2,2,9,1.0597481727600098,optimal
ins-3,3,10,1.9326632022857664,optimal
ins-4,4,11,3.764663696289064,optimal
ins-5,5,12,5.529745578765869,optimal
ins-6,6,13,9.396156072616575,optimal
ins-7,7,14,12.45408010482788,optimal
ins-8,8,15,16.640503406524658,optimal
ins-9,9,16,22.435668468475345,optimal
ins-10,10,17,36.36592626571655,optimal
ins-11,11,18,140.95863151550293,optimal
ins-12,12,19,170.04018330574036,optimal
ins-13,13,20,85.46498012542725,optimal
ins-14,14,21,156.96335339546204,optimal
ins-15,15,22,129.7045440673828,optimal
ins-16,16,0,300.0,N|A
ins-17,17,0,300.0,N|A
ins-18,18,0,300.0,N|A
ins-19,19,0,300.0,N|A
ins-20,20,0,300.0,N|A
ins-21,21,0,300.0,N|A
ins-22,22,0,300.0,N|A
ins-23,23,0,300.0,N|A
ins-24,24,0,300.0,N|A
ins-25,25,0,300.0,N|A
ins-26,26,0,300.0,N|A
ins-27,27,0,300.0,N|A
ins-28,28,0,300.0,N|A
ins-29,29,0,300.0,N|A
ins-30,30,0,300.0,N|A
ins-31,31,0,300.0,N|A
ins-32,32,0,300.0,N|A
ins-33,33,0,300.0,N|A
ins-34,34,0,300.0,N|A
ins-35,35,0,300.0,N|A
ins-36,36,0,300.0,N|A
ins-37,37,0,300.0,N|A
ins-38,38,0,300.0,N|A
ins-39,39,0,300.0,N|A
ins-40,40,0,300.0,N|A
