,instance,height,time,solution type
ins-1,1,8,1.303475856781006,optimal
ins-2,2,9,3.55695915222168,optimal
ins-3,3,10,11.355041742324827,optimal
ins-4,4,11,14.77174997329712,optimal
ins-5,5,12,38.51044797897339,optimal
ins-6,6,13,64.66110563278198,optimal
ins-7,7,14,27.946909189224243,optimal
ins-8,8,15,51.89361262321472,optimal
ins-9,9,16,129.77423691749573,optimal
ins-10,10,17,94.70848536491394,optimal
ins-11,11,0,300.0,N|A
ins-12,12,0,300.0,N|A
ins-13,13,0,300.0,N|A
ins-14,14,0,300.0,N|A
ins-15,15,0,300.0,N|A
ins-16,16,0,300.0,N|A
ins-17,17,0,300.0,N|A
ins-18,18,0,300.0,N|A
ins-19,19,0,300.0,N|A
ins-20,20,0,300.0,N|A
ins-21,21,0,300.0,N|A
ins-22,22,0,300.0,N|A
ins-23,23,0,300.0,N|A
ins-24,24,0,300.0,N|A
ins-25,25,0,300.0,N|A
ins-26,26,0,300.0,N|A
ins-27,27,0,300.0,N|A
ins-28,28,0,300.0,N|A
ins-29,29,0,300.0,N|A
ins-30,30,0,300.0,N|A
ins-31,31,0,300.0,N|A
ins-32,32,0,300.0,N|A
ins-33,33,0,300.0,N|A
ins-34,34,0,300.0,N|A
ins-35,35,0,300.0,N|A
ins-36,36,0,300.0,N|A
ins-37,37,0,300.0,N|A
ins-38,38,0,300.0,N|A
ins-39,39,0,300.0,N|A
ins-40,40,0,300.0,N|A
