,instance,height,time,solution type
ins-1,1,8,1.5709998607635498,optimal
ins-2,2,9,2.1690025329589844,optimal
ins-3,3,10,4.4499993324279785,optimal
ins-4,4,11,8.267629623413086,optimal
ins-5,5,12,12.84697151184082,optimal
ins-6,6,13,22.08670997619629,optimal
ins-7,7,14,31.81178569793701,optimal
ins-8,8,15,37.93875694274902,optimal
ins-9,9,16,56.092971324920654,optimal
ins-10,10,17,92.02044367790222,optimal
ins-11,11,0,300.0,N|A
ins-12,12,19,177.1636984348297,optimal
ins-13,13,20,197.3582754135132,optimal
ins-14,14,21,213.633095741272,optimal
ins-15,15,22,275.8481945991516,optimal
ins-16,16,0,300.0,N|A
ins-17,17,0,300.0,N|A
ins-18,18,0,300.0,N|A
ins-19,19,0,300.0,N|A
ins-20,20,0,300.0,N|A
ins-21,21,0,300.0,N|A
ins-22,22,0,300.0,N|A
ins-23,23,0,300.0,N|A
ins-24,24,0,300.0,N|A
ins-25,25,0,300.0,N|A
ins-26,26,0,300.0,N|A
ins-27,27,0,300.0,N|A
ins-28,28,0,300.0,N|A
ins-29,29,0,300.0,N|A
ins-30,30,0,300.0,N|A
ins-31,31,0,300.0,N|A
ins-32,32,0,300.0,N|A
ins-33,33,0,300.0,N|A
ins-34,34,0,300.0,N|A
ins-35,35,0,300.0,N|A
ins-36,36,0,300.0,N|A
ins-37,37,0,300.0,N|A
ins-38,38,0,300.0,N|A
ins-39,39,0,300.0,N|A
ins-40,40,0,300.0,N|A
