,instance,height,time,solution type
ins-1,1,8,2.667085647583008,optimal
ins-2,2,9,4.962251901626587,optimal
ins-3,3,10,9.194395780563354,optimal
ins-4,4,11,27.17657852172852,optimal
ins-5,5,12,31.021211862564087,optimal
ins-6,6,13,38.59031915664673,optimal
ins-7,7,14,58.92292070388794,optimal
ins-8,8,15,94.51764559745789,optimal
ins-9,9,16,52.06359028816223,optimal
ins-10,10,17,95.53004455566406,optimal
ins-11,11,0,300.0,N|A
ins-12,12,0,300.0,N|A
ins-13,13,0,300.0,N|A
ins-14,14,0,300.0,N|A
ins-15,15,0,300.0,N|A
ins-16,16,0,300.0,N|A
ins-17,17,0,300.0,N|A
ins-18,18,0,300.0,N|A
ins-19,19,0,300.0,N|A
ins-20,20,0,300.0,N|A
ins-21,21,0,300.0,N|A
ins-22,22,0,300.0,N|A
ins-23,23,0,300.0,N|A
ins-24,24,0,300.0,N|A
ins-25,25,0,300.0,N|A
ins-26,26,0,300.0,N|A
ins-27,27,0,300.0,N|A
ins-28,28,0,300.0,N|A
ins-29,29,0,300.0,N|A
ins-30,30,0,300.0,N|A
ins-31,31,0,300.0,N|A
ins-32,32,0,300.0,N|A
ins-33,33,0,300.0,N|A
ins-34,34,0,300.0,N|A
ins-35,35,0,300.0,N|A
ins-36,36,0,300.0,N|A
ins-37,37,0,300.0,N|A
ins-38,38,0,300.0,N|A
ins-39,39,0,300.0,N|A
ins-40,40,0,300.0,N|A
