,height,height_lb,time
1,8.0,8.0,0.2340106964111328
2,9.0,9.0,0.4313619136810303
3,10.0,10.0,0.769089937210083
4,11.0,11.0,1.141876459121704
5,12.0,12.0,1.6181151866912842
6,13.0,13.0,2.7691683769226074
7,14.0,14.0,2.898735284805298
8,15.0,15.0,3.624830961227417
9,16.0,16.0,4.624937534332275
10,17.0,17.0,6.389357566833496
11,18.0,18.0,165.83249378204346
12,19.0,19.0,13.393136739730837
13,20.0,20.0,14.424269914627075
14,21.0,21.0,15.7449471950531
15,22.0,22.0,111.31955766677856
16,23.0,23.0,300.0
17,24.0,24.0,300.0
18,25.0,25.0,300.0
19,26.0,26.0,300.0
20,27.0,27.0,300.0
21,28.0,28.0,300.0
22,29.0,29.0,300.0
23,30.0,30.0,300.0
24,31.0,31.0,300.0
25,32.0,32.0,300.0
26,33.0,33.0,300.0
27,34.0,34.0,300.0
28,35.0,35.0,300.0
29,36.0,36.0,300.0
30,37.0,37.0,300.0
31,38.0,38.0,300.0
32,39.0,39.0,300.0
33,40.0,40.0,300.0
34,40.0,40.0,300.0
35,40.0,40.0,300.0
36,40.0,40.0,300.0
37,60.0,60.0,300.0
38,60.0,60.0,300.0
39,60.0,60.0,300.0
40,90.0,90.0,300.0
