,height,height_lb,time
1,8.0,8.0,0.3139891624450683
2,9.0,9.0,0.5585029125213623
3,10.0,10.0,1.1857941150665283
4,11.0,11.0,2.2294650077819824
5,12.0,12.0,3.781602621078491
6,13.0,13.0,7.663591384887695
7,14.0,14.0,9.975102186203005
8,15.0,15.0,12.60267972946167
9,16.0,16.0,17.362147331237793
10,17.0,17.0,29.78484344482422
11,19.0,18.0,395.7701461315155
12,19.0,19.0,119.96310949325562
13,20.0,20.0,58.02143573760986
14,21.0,21.0,80.96613812446594
15,22.0,22.0,115.46414184570312
16,23.0,23.0,429.33708810806274
17,24.0,24.0,195.69687819480896
18,25.0,25.0,467.4004075527191
19,26.0,26.0,556.9393930435181
20,27.0,27.0,597.9500186443329
21,28.0,28.0,678.5852825641632
22,29.0,29.0,763.0674810409546
23,30.0,30.0,757.7612092494965
24,31.0,31.0,754.0083773136139
25,32.0,32.0,2511.350218772888
26,33.0,33.0,1449.6163935661316
27,34.0,34.0,2313.361676692962
28,35.0,35.0,1440.647697210312
29,36.0,36.0,1430.2316937446594
30,37.0,37.0,2201.4059426784515
31,38.0,38.0,1582.2566471099854
32,39.0,39.0,2498.1858110427856
33,40.0,40.0,1983.912708044052
34,40.0,40.0,433.7712047100067
35,40.0,40.0,300.0
36,40.0,40.0,300.0
37,60.0,60.0,300.0
38,60.0,60.0,300.0
39,60.0,60.0,300.0
40,90.0,90.0,300.0
