,instance,height,time,solution type
ins-1,1,8,0.58909010887146,optimal
ins-2,2,9,1.0133521556854248,optimal
ins-3,3,10,1.6490027904510498,optimal
ins-4,4,11,3.2350001335144043,optimal
ins-5,5,12,5.513793468475342,optimal
ins-6,6,13,8.72104787826538,optimal
ins-7,7,14,10.453110456466677,optimal
ins-8,8,15,13.74010443687439,optimal
ins-9,9,16,18.95505428314209,optimal
ins-10,10,17,32.32279992103577,optimal
ins-11,11,18,271.1955525875092,optimal
ins-12,12,19,54.01064229011536,optimal
ins-13,13,20,62.22000074386597,optimal
ins-14,14,21,159.17030453681946,optimal
ins-15,15,22,171.56662940979004,optimal
ins-16,16,0,300.0,N|A
ins-17,17,24,245.1288504600525,optimal
ins-18,18,0,300.0,N|A
ins-19,19,0,300.0,N|A
ins-20,20,0,300.0,N|A
