,instance,height,time,solution type
ins-1,1,8,1.22499418258667,optimal
ins-2,2,9,1.7610576152801514,optimal
ins-3,3,10,3.674954414367676,optimal
ins-4,4,11,6.21599817276001,optimal
ins-5,5,12,12.080182790756226,optimal
ins-6,6,13,19.2889986038208,optimal
ins-7,7,14,26.967872619628903,optimal
ins-8,8,15,75.45921635627747,optimal
ins-9,9,16,47.366377115249634,optimal
ins-10,10,17,80.63567209243774,optimal
ins-11,11,0,300.0,N|A
ins-12,12,0,300.0,N|A
ins-13,13,20,263.7501595020294,optimal
ins-14,14,0,300.0,N|A
ins-15,15,0,300.0,N|A
ins-16,16,0,300.0,N|A
ins-17,17,0,300.0,N|A
ins-18,18,0,300.0,N|A
ins-19,19,0,300.0,N|A
