,height,height_lb,time
1,8.0,8.0,2.6908209323883057
2,9.0,9.0,4.680999517440796
3,10.0,10.0,8.645999431610107
4,11.0,11.0,13.22000217437744
5,12.0,12.0,23.19592809677124
6,13.0,13.0,46.81540489196777
7,14.0,14.0,41.94699811935425
8,15.0,15.0,64.81754279136658
9,16.0,16.0,84.139897108078
10,17.0,17.0,133.80414605140686
11,18.0,18.0,300.0
12,19.0,19.0,300.0
13,20.0,20.0,300.0
14,21.0,21.0,300.0
15,22.0,22.0,300.0
16,23.0,23.0,300.0
17,24.0,24.0,300.0
18,25.0,25.0,300.0
19,26.0,26.0,300.0
20,27.0,27.0,300.0
21,28.0,28.0,300.0
22,29.0,29.0,300.0
23,30.0,30.0,300.0
24,31.0,31.0,300.0
25,32.0,32.0,300.0
26,33.0,33.0,300.0
27,34.0,34.0,300.0
28,35.0,35.0,300.0
29,36.0,36.0,300.0
30,37.0,37.0,300.0
31,38.0,38.0,300.0
32,39.0,39.0,300.0
33,40.0,40.0,300.0
34,40.0,40.0,300.0
35,40.0,40.0,300.0
36,40.0,40.0,300.0
37,60.0,60.0,300.0
38,60.0,60.0,300.0
39,60.0,60.0,300.0
40,90.0,90.0,300.0
