,height,height_lb,time
1,8.0,8.0,1.628061294555664
2,9.0,9.0,3.31006407737732
3,10.0,10.0,6.315312623977661
4,11.0,11.0,9.960683822631836
5,12.0,12.0,26.279013872146606
6,13.0,13.0,24.184502840042114
7,14.0,14.0,35.62358236312866
8,15.0,15.0,96.77737855911256
9,16.0,16.0,57.27801561355591
10,17.0,17.0,157.35470843315125
11,18.0,18.0,142.71490216255188
12,19.0,19.0,300.0
13,20.0,20.0,300.0
14,21.0,21.0,300.0
15,22.0,22.0,300.0
16,23.0,23.0,300.0
17,24.0,24.0,300.0
18,25.0,25.0,300.0
19,26.0,26.0,300.0
20,27.0,27.0,300.0
21,28.0,28.0,300.0
22,29.0,29.0,300.0
23,30.0,30.0,300.0
24,31.0,31.0,300.0
25,32.0,32.0,300.0
26,33.0,33.0,300.0
27,34.0,34.0,300.0
28,35.0,35.0,300.0
29,36.0,36.0,300.0
30,37.0,37.0,300.0
31,38.0,38.0,300.0
32,39.0,39.0,300.0
33,40.0,40.0,300.0
34,40.0,40.0,300.0
35,40.0,40.0,300.0
36,40.0,40.0,300.0
37,60.0,60.0,300.0
38,60.0,60.0,300.0
39,60.0,60.0,300.0
40,90.0,90.0,300.0
