,height,height_lb,time
1,8.0,8.0,0.5819990634918213
2,9.0,9.0,0.8290011882781982
3,10.0,10.0,1.6290018558502195
4,11.0,11.0,2.8561995029449463
5,12.0,12.0,4.988998174667358
6,13.0,13.0,8.21699571609497
7,14.0,14.0,10.709375619888306
8,15.0,15.0,14.918999195098875
9,16.0,16.0,21.089048624038696
10,17.0,17.0,35.00199890136719
11,0.0,18.0,0.0
12,19.0,19.0,143.7341067790985
13,20.0,20.0,152.311500787735
14,21.0,21.0,273.9334831237793
15,22.0,22.0,148.48426866531372
16,0.0,23.0,0.0
17,0.0,24.0,0.0
18,0.0,25.0,0.0
19,0.0,26.0,0.0
20,0.0,27.0,0.0
21,0.0,28.0,0.0
22,0.0,29.0,0.0
23,0.0,30.0,0.0
