,instance,height,time,solution type
ins-1,1,8,0.0200309753417968,optimal
ins-2,2,9,0.0265946388244628,optimal
ins-3,3,10,0.0228259563446044,optimal
ins-4,4,11,0.0260255336761474,optimal
ins-5,5,12,0.0387060642242431,optimal
ins-6,6,13,0.0425858497619628,optimal
ins-7,7,14,0.0429491996765136,optimal
ins-8,8,15,0.0391240119934082,optimal
ins-9,9,16,0.0467095375061035,optimal
ins-10,10,17,0.1669042110443115,optimal
ins-11,11,18,0.8318023681640625,optimal
ins-12,12,19,0.82084059715271,optimal
ins-13,13,20,0.1431233882904052,optimal
ins-14,14,21,0.8713271617889404,optimal
ins-15,15,22,0.3449394702911377,optimal
ins-16,16,23,106.91867089271544,optimal
ins-17,17,24,1.4642274379730225,optimal
ins-18,18,25,2.358049154281616,optimal
ins-19,19,26,4.440844297409058,optimal
ins-20,20,27,8.87234377861023,optimal
ins-21,21,28,28.741347074508667,optimal
ins-22,22,29,57.18603658676148,optimal
ins-23,23,30,9.886987209320068,optimal
ins-24,24,31,1.2307507991790771,optimal
ins-25,25,32,66.37984895706177,optimal
ins-26,26,33,8.849325180053711,optimal
ins-27,27,34,27.305835247039795,optimal
ins-28,28,35,2.652027368545532,optimal
ins-29,29,36,9.99849009513855,optimal
ins-30,30,37,300.0,UNSAT
ins-31,31,38,0.9240140914916992,optimal
ins-32,32,39,300.0,UNSAT
ins-33,33,40,3.680669069290161,optimal
ins-34,34,40,300.0,UNSAT
ins-35,35,40,113.28598809242249,optimal
ins-36,36,40,13.209848165512083,optimal
ins-37,37,60,67.11293196678162,optimal
ins-38,38,60,300.0,UNSAT
ins-39,39,60,300.0,UNSAT
ins-40,40,90,300.0,UNSAT
