,instance,height,time,solution type
ins-1,1,8,0.0319244861602783,optimal
ins-2,2,9,0.0405752658843994,optimal
ins-3,3,10,0.0495555400848388,optimal
ins-4,4,11,0.0771665573120117,optimal
ins-5,5,12,0.0830385684967041,optimal
ins-6,6,13,0.111140489578247,optimal
ins-7,7,14,0.0950899124145507,optimal
ins-8,8,15,0.1309845447540283,optimal
ins-9,9,16,0.12679743766784668,optimal
ins-10,10,17,0.3041639328002929,optimal
ins-11,11,18,13.204352617263794,optimal
ins-12,12,19,0.5377852916717529,optimal
ins-13,13,20,0.7436575889587402,optimal
ins-14,14,21,0.4830560684204101,optimal
ins-15,15,22,0.4591164588928222,optimal
ins-16,16,23,4.87768030166626,optimal
ins-17,17,24,3.815364122390747,optimal
ins-18,18,25,7.268456220626831,optimal
ins-19,19,26,42.63300347328186,optimal
ins-20,20,27,11.321606874465942,optimal
ins-21,21,28,81.33695387840271,optimal
ins-22,22,29,315.0249757766724,optimal
ins-23,23,30,9.569453954696655,optimal
ins-24,24,31,1.5830059051513672,optimal
ins-25,25,32,113.16377377510072,optimal
ins-26,26,33,48.99444055557251,optimal
ins-27,27,34,8.980699062347412,optimal
ins-28,28,35,15.30916452407837,optimal
ins-29,29,36,12.931184768676758,optimal
ins-30,30,37,700.9442386627197,optimal
ins-31,31,38,4.637041091918945,optimal
ins-32,32,39,300.0,UNSAT
ins-33,33,40,3.440029621124268,optimal
ins-34,34,40,221.7423844337464,optimal
ins-35,35,40,136.0790045261383,optimal
ins-36,36,40,65.21918272972107,optimal
ins-37,37,60,300.0,UNSAT
ins-38,38,60,300.0,UNSAT
ins-39,39,60,300.0,UNSAT
ins-40,40,90,300.0,UNSAT
