,instance,height,time,solution type
ins-1,1,-,-1.0,N|A
ins-2,2,-,-1.0,N|A
ins-3,3,9,0.0600819587707519,optimal
ins-4,4,10,0.0373635292053222,optimal
ins-5,5,11,0.0451140403747558,optimal
ins-6,6,12,0.0651257038116455,optimal
ins-7,7,13,0.0823962688446044,optimal
ins-8,8,15,0.1193268299102783,optimal
ins-9,9,17,0.11382079124450684,optimal
ins-10,10,-,-1.0,N|A
ins-11,11,-,-1.0,N|A
ins-12,12,-,-1.0,N|A
ins-13,13,-,-1.0,N|A
ins-14,14,-,-1.0,N|A
ins-15,15,-,-1.0,N|A
ins-16,16,-,-1.0,N|A
ins-17,17,-,-1.0,N|A
ins-18,18,-,-1.0,N|A
ins-19,19,-,-1.0,N|A
ins-20,20,-,-1.0,N|A
ins-21,21,-,-1.0,N|A
ins-22,22,-,-1.0,N|A
ins-23,23,-,-1.0,N|A
ins-24,24,-,-1.0,N|A
ins-25,25,-,-1.0,N|A
ins-26,26,-,-1.0,N|A
ins-27,27,-,-1.0,N|A
ins-28,28,-,-1.0,N|A
ins-29,29,-,-1.0,N|A
ins-30,30,-,-1.0,N|A
ins-31,31,-,-1.0,N|A
ins-32,32,-,-1.0,N|A
ins-33,33,-,-1.0,N|A
ins-34,34,-,-1.0,N|A
ins-35,35,-,-1.0,N|A
ins-36,36,-,-1.0,N|A
ins-37,37,-,-1.0,N|A
ins-38,38,-,-1.0,N|A
ins-39,39,-,-1.0,N|A
ins-40,40,-,-1.0,N|A
