ID,pySMT_msat,pySMT_z3,z3Py,z3Py_parallel,Over 5 min execution
1,\textbf{8},\textbf{8},\textbf{8},\textbf{8},-
2,\textbf{9},\textbf{9},\textbf{9},\textbf{9},-
3,\textbf{10},\textbf{10},\textbf{10},\textbf{10},-
4,\textbf{11},\textbf{11},\textbf{11},\textbf{11},-
5,\textbf{12},\textbf{12},\textbf{12},\textbf{12},-
6,\textbf{13},\textbf{13},\textbf{13},\textbf{13},-
7,\textbf{14},\textbf{14},\textbf{14},\textbf{14},-
8,\textbf{15},\textbf{15},\textbf{15},\textbf{15},-
9,\textbf{16},\textbf{16},\textbf{16},\textbf{16},-
10,\textbf{17},\textbf{17},\textbf{17},\textbf{17},-
11,\textbf{18},\textbf{18},\textbf{18},\textbf{18},-
12,\textbf{19},\textbf{19},\textbf{19},\textbf{19},-
13,\textbf{20},\textbf{20},\textbf{20},\textbf{20},-
14,\textbf{21},\textbf{21},\textbf{21},\textbf{21},-
15,\textbf{22},\textbf{22},\textbf{22},\textbf{22},-
16,\textbf{23},\textbf{23},\textbf{23},\textbf{23},-
17,\textbf{24},\textbf{24},\textbf{24},\textbf{24},-
18,\textbf{25},\textbf{25},\textbf{25},\textbf{25},-
19,\textbf{26},\textbf{26},\textbf{26},\textbf{26},-
20,\textbf{27},\textbf{27},\textbf{27},\textbf{27},-
21,\textbf{28},\textbf{28},\textbf{28},\textbf{28},-
22,\textbf{29},\textbf{29},UNSAT,\textbf{29},-
23,\textbf{30},\textbf{30},\textbf{30},\textbf{30},-
24,\textbf{31},\textbf{31},\textbf{31},\textbf{31},-
25,\textbf{32},\textbf{32},\textbf{32},\textbf{32},-
26,\textbf{33},\textbf{33},\textbf{33},\textbf{33},-
27,\textbf{34},\textbf{34},\textbf{34},\textbf{34},-
28,\textbf{35},\textbf{35},\textbf{35},\textbf{35},-
29,\textbf{36},\textbf{36},\textbf{36},\textbf{36},-
30,UNSAT,\textbf{37},UNSAT,\textbf{37},-
31,\textbf{38},\textbf{38},\textbf{38},\textbf{38},-
32,UNSAT,\textbf{39},UNSAT,UNSAT,-
33,\textbf{40},\textbf{40},\textbf{40},\textbf{40},-
34,UNSAT,\textbf{40},UNSAT,\textbf{40},-
35,\textbf{40},\textbf{40},\textbf{40},\textbf{40},-
36,\textbf{40},\textbf{40},\textbf{40},\textbf{40},-
37,\textbf{60},\textbf{60},UNSAT,UNSAT,-
38,UNSAT,UNSAT,UNSAT,UNSAT,-
39,UNSAT,\textbf{60},UNSAT,UNSAT,-
40,UNSAT,UNSAT,UNSAT,UNSAT,-
