ID,z3Py_parallel_rotation,z3Py_rotation,Over 5 min execution
1,UNSAT,\textbf{8},-
2,UNSAT,\textbf{9},-
3,UNSAT,\textbf{10},-
4,UNSAT,\textbf{11},-
5,UNSAT,\textbf{12},-
6,UNSAT,\textbf{13},-
7,UNSAT,\textbf{14},-
8,UNSAT,\textbf{15},-
9,N|A,\textbf{16},-
10,N|A,\textbf{17},-
11,N|A,\textbf{18},-
12,N|A,\textbf{19},-
13,N|A,\textbf{20},-
14,N|A,\textbf{21},-
15,N|A,\textbf{22},-
16,N|A,UNSAT,-
17,N|A,\textbf{24},-
18,N|A,\textbf{25},-
19,N|A,UNSAT,-
20,N|A,UNSAT,-
21,N|A,UNSAT,-
22,N|A,UNSAT,-
23,N|A,UNSAT,-
24,N|A,\textbf{31},-
25,N|A,UNSAT,-
26,N|A,UNSAT,-
27,N|A,UNSAT,-
28,N|A,UNSAT,-
29,N|A,UNSAT,-
30,N|A,UNSAT,-
31,N|A,\textbf{38},-
32,N|A,UNSAT,-
33,N|A,\textbf{40},-
34,N|A,\textbf{40},-
35,N|A,\textbf{40},-
36,N|A,\textbf{40},-
37,N|A,UNSAT,-
38,N|A,UNSAT,-
39,N|A,UNSAT,-
40,N|A,UNSAT,-
