ID,CP,SAT,SMT,MIP
1,\textbf{8},\textbf{8},\textbf{8},\textbf{8}
2,\textbf{9},\textbf{9},\textbf{9},\textbf{9}
3,\textbf{10},\textbf{10},\textbf{10},\textbf{10}
4,\textbf{11},\textbf{11},\textbf{11},\textbf{11}
5,\textbf{12},\textbf{12},\textbf{12},\textbf{12}
6,\textbf{13},\textbf{13},\textbf{13},\textbf{13}
7,\textbf{14},\textbf{14},\textbf{14},\textbf{14}
8,\textbf{15},\textbf{15},\textbf{15},\textbf{15}
9,\textbf{16},\textbf{16},\textbf{16},\textbf{16}
10,\textbf{17},\textbf{17},\textbf{17},\textbf{17}
11,\textbf{18},\textbf{18},\textbf{18},\textbf{18}
12,\textbf{19},\textbf{19},\textbf{19},\textbf{19}
13,\textbf{20},\textbf{20},\textbf{20},\textbf{20}
14,\textbf{21},\textbf{21},\textbf{21},\textbf{21}
15,\textbf{22},\textbf{22},\textbf{22},\textbf{22}
16,\textbf{23},\textbf{23},\textbf{23},\textbf{23}
17,\textbf{24},\textbf{24},\textbf{24},\textbf{24}
18,\textbf{25},\textbf{25},\textbf{25},\textbf{25}
19,\textbf{26},N|A,\textbf{26},\textbf{26}
20,\textbf{27},N|A,\textbf{27},\textbf{27}
21,\textbf{28},N|A,\textbf{28},29
22,\textbf{29},N|A,\textbf{29},30
23,\textbf{30},N|A,\textbf{30},\textbf{30}
24,\textbf{31},N|A,\textbf{31},\textbf{31}
25,\textbf{32},N|A,\textbf{32},33
26,\textbf{33},N|A,\textbf{33},\textbf{33}
27,\textbf{34},N|A,\textbf{34},\textbf{34}
28,\textbf{35},N|A,\textbf{35},\textbf{35}
29,\textbf{36},N|A,\textbf{36},\textbf{36}
30,\textbf{37},N|A,\textbf{37},38
31,\textbf{38},N|A,\textbf{38},\textbf{38}
32,\textbf{39},N|A,\textbf{39},40
33,\textbf{40},N|A,\textbf{40},\textbf{40}
34,\textbf{40},N|A,\textbf{40},\textbf{40}
35,\textbf{40},N|A,\textbf{40},41
36,\textbf{40},N|A,\textbf{40},\textbf{40}
37,\textbf{60},N|A,\textbf{60},61
38,\textbf{60},N|A,UNSAT,62
39,\textbf{60},N|A,\textbf{60},61
40,92,N|A,UNSAT,99
